text,label
Small refundable onboarding charge of Rs 3215 applies,1
Processing fee of Rs 4482 required for HR verification,1
Verification fee of Rs 1931 required before interview,1
Processing fee of Rs 1081 required for HR verification,1
Processing fee of Rs 2741 required for HR verification,1
Training fee of Rs 1927 will be refunded after completion,1
Registration fee of Rs 3674 required urgently,1
Pay Rs 2059 to activate your internship account,1
Pay Rs 3629 to activate your internship account,1
Registration fee of Rs 2251 required urgently,1
Pay a refundable onboarding fee of Rs 3819 to proceed,1
Training fee of Rs 4644 will be refunded after completion,1
Training fee of Rs 1300 will be refunded after completion,1
Training fee of Rs 4334 will be refunded after completion,1
Training fee of Rs 1951 will be refunded after completion,1
Pay Rs 4304 to activate your internship account,1
Submit a training deposit of Rs 2861 before joining,1
Small refundable onboarding charge of Rs 3419 applies,1
Training fee of Rs 801 will be refunded after completion,1
Pay Rs 1917 to activate your internship account,1
Training fee of Rs 2358 will be refunded after completion,1
Processing fee of Rs 4709 required for HR verification,1
Security deposit of Rs 3481 needed to confirm internship,1
Verification fee of Rs 753 required before interview,1
Training fee of Rs 4002 will be refunded after completion,1
Processing fee of Rs 1824 required for HR verification,1
Pay a refundable onboarding fee of Rs 2010 to proceed,1
Training fee of Rs 4714 will be refunded after completion,1
Small refundable onboarding charge of Rs 979 applies,1
Security deposit of Rs 1190 needed to confirm internship,1
Small refundable onboarding charge of Rs 3563 applies,1
Small refundable onboarding charge of Rs 2582 applies,1
Security deposit of Rs 3405 needed to confirm internship,1
Pay Rs 2600 to activate your internship account,1
Pay a refundable onboarding fee of Rs 4572 to proceed,1
Verification fee of Rs 1376 required before interview,1
Registration fee of Rs 532 required urgently,1
Limited slots. Pay Rs 3399 immediately to secure position,1
Verification fee of Rs 2435 required before interview,1
Limited slots. Pay Rs 3615 immediately to secure position,1
Verification fee of Rs 3235 required before interview,1
Pay Rs 2485 to activate your internship account,1
Pay a refundable onboarding fee of Rs 4774 to proceed,1
Registration fee of Rs 4603 required urgently,1
Submit a training deposit of Rs 2865 before joining,1
Verification fee of Rs 2269 required before interview,1
Limited slots. Pay Rs 2685 immediately to secure position,1
Submit a training deposit of Rs 4829 before joining,1
Security deposit of Rs 4720 needed to confirm internship,1
Registration fee of Rs 658 required urgently,1
Registration fee of Rs 3408 required urgently,1
Limited slots. Pay Rs 2666 immediately to secure position,1
Pay a refundable onboarding fee of Rs 1269 to proceed,1
Processing fee of Rs 4275 required for HR verification,1
Submit a training deposit of Rs 2800 before joining,1
Pay Rs 2493 to activate your internship account,1
Security deposit of Rs 1864 needed to confirm internship,1
Pay a refundable onboarding fee of Rs 726 to proceed,1
Submit a training deposit of Rs 4937 before joining,1
Training fee of Rs 3122 will be refunded after completion,1
Training fee of Rs 841 will be refunded after completion,1
Small refundable onboarding charge of Rs 3559 applies,1
Submit a training deposit of Rs 4570 before joining,1
Submit a training deposit of Rs 1266 before joining,1
Security deposit of Rs 1672 needed to confirm internship,1
Training fee of Rs 686 will be refunded after completion,1
Submit a training deposit of Rs 3724 before joining,1
Submit a training deposit of Rs 717 before joining,1
Training fee of Rs 4442 will be refunded after completion,1
Small refundable onboarding charge of Rs 1373 applies,1
Verification fee of Rs 3045 required before interview,1
Small refundable onboarding charge of Rs 2568 applies,1
Registration fee of Rs 2005 required urgently,1
Small refundable onboarding charge of Rs 4826 applies,1
Limited slots. Pay Rs 546 immediately to secure position,1
Security deposit of Rs 4339 needed to confirm internship,1
Pay Rs 1915 to activate your internship account,1
Verification fee of Rs 1980 required before interview,1
Processing fee of Rs 2696 required for HR verification,1
Verification fee of Rs 2704 required before interview,1
Submit a training deposit of Rs 838 before joining,1
Processing fee of Rs 4332 required for HR verification,1
Pay a refundable onboarding fee of Rs 2021 to proceed,1
Verification fee of Rs 4134 required before interview,1
Registration fee of Rs 1915 required urgently,1
Registration fee of Rs 3512 required urgently,1
Pay Rs 1039 to activate your internship account,1
Pay a refundable onboarding fee of Rs 796 to proceed,1
Pay a refundable onboarding fee of Rs 2708 to proceed,1
Pay Rs 1543 to activate your internship account,1
Pay Rs 1004 to activate your internship account,1
Training fee of Rs 1311 will be refunded after completion,1
Registration fee of Rs 3097 required urgently,1
Limited slots. Pay Rs 3451 immediately to secure position,1
Processing fee of Rs 3301 required for HR verification,1
Limited slots. Pay Rs 3488 immediately to secure position,1
Small refundable onboarding charge of Rs 4237 applies,1
Training fee of Rs 4207 will be refunded after completion,1
Small refundable onboarding charge of Rs 680 applies,1
Submit a training deposit of Rs 3271 before joining,1
Limited slots. Pay Rs 1994 immediately to secure position,1
Security deposit of Rs 4149 needed to confirm internship,1
Pay Rs 2110 to activate your internship account,1
Training fee of Rs 1999 will be refunded after completion,1
Small refundable onboarding charge of Rs 2408 applies,1
Pay Rs 3617 to activate your internship account,1
Verification fee of Rs 3596 required before interview,1
Limited slots. Pay Rs 3406 immediately to secure position,1
Submit a training deposit of Rs 2773 before joining,1
Limited slots. Pay Rs 1183 immediately to secure position,1
Limited slots. Pay Rs 1334 immediately to secure position,1
Verification fee of Rs 3977 required before interview,1
Verification fee of Rs 4934 required before interview,1
Pay Rs 2124 to activate your internship account,1
Security deposit of Rs 3171 needed to confirm internship,1
Pay Rs 2818 to activate your internship account,1
Verification fee of Rs 3198 required before interview,1
Pay a refundable onboarding fee of Rs 3805 to proceed,1
Pay a refundable onboarding fee of Rs 2533 to proceed,1
Training fee of Rs 3738 will be refunded after completion,1
Security deposit of Rs 1144 needed to confirm internship,1
Processing fee of Rs 1927 required for HR verification,1
Training fee of Rs 3994 will be refunded after completion,1
Verification fee of Rs 4181 required before interview,1
Pay a refundable onboarding fee of Rs 4106 to proceed,1
Registration fee of Rs 3576 required urgently,1
Training fee of Rs 967 will be refunded after completion,1
Limited slots. Pay Rs 4938 immediately to secure position,1
Verification fee of Rs 4564 required before interview,1
Submit a training deposit of Rs 2189 before joining,1
Small refundable onboarding charge of Rs 703 applies,1
Processing fee of Rs 3965 required for HR verification,1
Small refundable onboarding charge of Rs 2733 applies,1
Verification fee of Rs 2668 required before interview,1
Pay Rs 3746 to activate your internship account,1
Security deposit of Rs 3081 needed to confirm internship,1
Pay Rs 4200 to activate your internship account,1
Verification fee of Rs 2086 required before interview,1
Limited slots. Pay Rs 3998 immediately to secure position,1
Small refundable onboarding charge of Rs 2810 applies,1
Processing fee of Rs 1769 required for HR verification,1
Small refundable onboarding charge of Rs 3064 applies,1
Limited slots. Pay Rs 939 immediately to secure position,1
Training fee of Rs 1040 will be refunded after completion,1
Verification fee of Rs 2197 required before interview,1
Submit a training deposit of Rs 2543 before joining,1
Pay a refundable onboarding fee of Rs 1061 to proceed,1
Training fee of Rs 505 will be refunded after completion,1
Security deposit of Rs 3982 needed to confirm internship,1
Pay a refundable onboarding fee of Rs 1621 to proceed,1
Verification fee of Rs 4491 required before interview,1
Registration fee of Rs 2131 required urgently,1
Registration fee of Rs 2142 required urgently,1
Registration fee of Rs 4236 required urgently,1
Verification fee of Rs 3849 required before interview,1
Security deposit of Rs 2685 needed to confirm internship,1
Verification fee of Rs 4938 required before interview,1
Pay a refundable onboarding fee of Rs 3222 to proceed,1
Pay Rs 3020 to activate your internship account,1
Verification fee of Rs 3271 required before interview,1
Small refundable onboarding charge of Rs 586 applies,1
Training fee of Rs 4926 will be refunded after completion,1
Security deposit of Rs 1200 needed to confirm internship,1
Submit a training deposit of Rs 1830 before joining,1
Pay a refundable onboarding fee of Rs 3891 to proceed,1
Training fee of Rs 2336 will be refunded after completion,1
Registration fee of Rs 4830 required urgently,1
Submit a training deposit of Rs 3083 before joining,1
Small refundable onboarding charge of Rs 3976 applies,1
Registration fee of Rs 4348 required urgently,1
Pay a refundable onboarding fee of Rs 3430 to proceed,1
Pay a refundable onboarding fee of Rs 3902 to proceed,1
Submit a training deposit of Rs 933 before joining,1
Limited slots. Pay Rs 525 immediately to secure position,1
Pay Rs 624 to activate your internship account,1
Submit a training deposit of Rs 2408 before joining,1
Pay a refundable onboarding fee of Rs 1719 to proceed,1
Limited slots. Pay Rs 1022 immediately to secure position,1
Limited slots. Pay Rs 1991 immediately to secure position,1
Verification fee of Rs 4457 required before interview,1
Limited slots. Pay Rs 2692 immediately to secure position,1
Training fee of Rs 1907 will be refunded after completion,1
Pay a refundable onboarding fee of Rs 1970 to proceed,1
Security deposit of Rs 1820 needed to confirm internship,1
Pay Rs 3426 to activate your internship account,1
Verification fee of Rs 3517 required before interview,1
Processing fee of Rs 4318 required for HR verification,1
Pay Rs 3174 to activate your internship account,1
Processing fee of Rs 4400 required for HR verification,1
Small refundable onboarding charge of Rs 3877 applies,1
Pay a refundable onboarding fee of Rs 2228 to proceed,1
Small refundable onboarding charge of Rs 606 applies,1
Security deposit of Rs 3410 needed to confirm internship,1
Security deposit of Rs 2837 needed to confirm internship,1
Submit a training deposit of Rs 2447 before joining,1
Pay a refundable onboarding fee of Rs 2346 to proceed,1
Pay a refundable onboarding fee of Rs 4348 to proceed,1
Submit a training deposit of Rs 1845 before joining,1
Registration fee of Rs 4537 required urgently,1
Training fee of Rs 3518 will be refunded after completion,1
Security deposit of Rs 4518 needed to confirm internship,1
Pay Rs 4444 to activate your internship account,1
Limited slots. Pay Rs 4125 immediately to secure position,1
Registration fee of Rs 2011 required urgently,1
Training fee of Rs 601 will be refunded after completion,1
Security deposit of Rs 4299 needed to confirm internship,1
