"text","label"
"Verification fee of Rs 2695 required before interview","1"
"Pay Rs 2930 to activate your internship account","1"
"Security deposit of Rs 2103 needed to confirm internship","1"
"Registration fee of Rs 4465 required urgently","1"
"Pay Rs 1320 to activate your internship account","1"
"Pay Rs 4536 to activate your internship account","1"
"Limited slots. Pay Rs 3585 immediately to secure position","1"
"Submit a training deposit of Rs 4437 before joining","1"
"Verification fee of Rs 1977 required before interview","1"
"Registration fee of Rs 4276 required urgently","1"
"Registration fee of Rs 3649 required urgently","1"
"Pay a refundable onboarding fee of Rs 3616 to proceed","1"
"Verification fee of Rs 4624 required before interview","1"
"Verification fee of Rs 2498 required before interview","1"
"Submit a training deposit of Rs 4639 before joining","1"
"Verification fee of Rs 1780 required before interview","1"
"Pay a refundable onboarding fee of Rs 3868 to proceed","1"
"Pay a refundable onboarding fee of Rs 2114 to proceed","1"
"Registration fee of Rs 2839 required urgently","1"
"Training fee of Rs 3056 will be refunded after completion","1"
"Pay Rs 3142 to activate your internship account","1"
"Submit a training deposit of Rs 1696 before joining","1"
"Security deposit of Rs 576 needed to confirm internship","1"
"Limited slots. Pay Rs 4213 immediately to secure position","1"
"Pay Rs 3397 to activate your internship account","1"
"Processing fee of Rs 2112 required for HR verification","1"
"Submit a training deposit of Rs 504 before joining","1"
"Pay a refundable onboarding fee of Rs 1719 to proceed","1"
"Limited slots. Pay Rs 4277 immediately to secure position","1"
"Verification fee of Rs 3139 required before interview","1"
"Pay a refundable onboarding fee of Rs 4500 to proceed","1"
"Pay Rs 3924 to activate your internship account","1"
"Processing fee of Rs 4078 required for HR verification","1"
"Submit a training deposit of Rs 4232 before joining","1"
"Verification fee of Rs 4356 required before interview","1"
"Submit a training deposit of Rs 3052 before joining","1"
"Processing fee of Rs 1999 required for HR verification","1"
"Small refundable onboarding charge of Rs 2177 applies","1"
"Submit a training deposit of Rs 1777 before joining","1"
"Security deposit of Rs 2868 needed to confirm internship","1"
"Pay a refundable onboarding fee of Rs 2011 to proceed","1"
"Registration fee of Rs 3598 required urgently","1"
"Processing fee of Rs 880 required for HR verification","1"
"Small refundable onboarding charge of Rs 3592 applies","1"
"Limited slots. Pay Rs 2759 immediately to secure position","1"
"Training fee of Rs 3079 will be refunded after completion","1"
"Small refundable onboarding charge of Rs 3569 applies","1"
"Small refundable onboarding charge of Rs 2559 applies","1"
"Verification fee of Rs 4364 required before interview","1"
"Training fee of Rs 4233 will be refunded after completion","1"
"Training fee of Rs 4769 will be refunded after completion","1"
"Training fee of Rs 2260 will be refunded after completion","1"
"Training fee of Rs 3737 will be refunded after completion","1"
"Limited slots. Pay Rs 1961 immediately to secure position","1"
"Submit a training deposit of Rs 2354 before joining","1"
"Pay Rs 4103 to activate your internship account","1"
"Pay Rs 2488 to activate your internship account","1"
"Training fee of Rs 4914 will be refunded after completion","1"
"Submit a training deposit of Rs 1377 before joining","1"
"Submit a training deposit of Rs 528 before joining","1"
"Submit a training deposit of Rs 660 before joining","1"
"Verification fee of Rs 2972 required before interview","1"
"Verification fee of Rs 1045 required before interview","1"
"Limited slots. Pay Rs 4102 immediately to secure position","1"
"Pay Rs 3609 to activate your internship account","1"
"Pay Rs 1034 to activate your internship account","1"
"Limited slots. Pay Rs 1631 immediately to secure position","1"
"Registration fee of Rs 3083 required urgently","1"
"Registration fee of Rs 2798 required urgently","1"
"Registration fee of Rs 4959 required urgently","1"
"Limited slots. Pay Rs 2118 immediately to secure position","1"
"Pay Rs 3378 to activate your internship account","1"
"Limited slots. Pay Rs 867 immediately to secure position","1"
"Pay Rs 3962 to activate your internship account","1"
"Security deposit of Rs 2284 needed to confirm internship","1"
"Security deposit of Rs 3739 needed to confirm internship","1"
"Security deposit of Rs 2311 needed to confirm internship","1"
"Pay Rs 1115 to activate your internship account","1"
"Small refundable onboarding charge of Rs 4851 applies","1"
"Pay Rs 844 to activate your internship account","1"
"Verification fee of Rs 1428 required before interview","1"
"Verification fee of Rs 4636 required before interview","1"
"Submit a training deposit of Rs 2927 before joining","1"
"Training fee of Rs 693 will be refunded after completion","1"
"Submit a training deposit of Rs 4374 before joining","1"
"Submit a training deposit of Rs 681 before joining","1"
"Submit a training deposit of Rs 4460 before joining","1"
"Registration fee of Rs 4836 required urgently","1"
"Security deposit of Rs 2689 needed to confirm internship","1"
"Small refundable onboarding charge of Rs 3770 applies","1"
"Small refundable onboarding charge of Rs 2772 applies","1"
"Training fee of Rs 1211 will be refunded after completion","1"
"Security deposit of Rs 1691 needed to confirm internship","1"
"Registration fee of Rs 2402 required urgently","1"
"Pay Rs 4729 to activate your internship account","1"
"Small refundable onboarding charge of Rs 2027 applies","1"
"Registration fee of Rs 4403 required urgently","1"
"Registration fee of Rs 2319 required urgently","1"
"Limited slots. Pay Rs 2999 immediately to secure position","1"
"Security deposit of Rs 4967 needed to confirm internship","1"
"Training fee of Rs 2874 will be refunded after completion","1"
"Registration fee of Rs 1091 required urgently","1"
"Processing fee of Rs 3401 required for HR verification","1"
"Training fee of Rs 1385 will be refunded after completion","1"
"Security deposit of Rs 2335 needed to confirm internship","1"
"Pay Rs 3010 to activate your internship account","1"
"Training fee of Rs 1424 will be refunded after completion","1"
"Registration fee of Rs 1480 required urgently","1"
"Pay a refundable onboarding fee of Rs 2009 to proceed","1"
"Processing fee of Rs 2353 required for HR verification","1"
"Pay Rs 4040 to activate your internship account","1"
"Pay Rs 3006 to activate your internship account","1"
"Training fee of Rs 2423 will be refunded after completion","1"
"Limited slots. Pay Rs 1156 immediately to secure position","1"
"Verification fee of Rs 2483 required before interview","1"
"Pay a refundable onboarding fee of Rs 2516 to proceed","1"
"Registration fee of Rs 4044 required urgently","1"
"Verification fee of Rs 572 required before interview","1"
"Pay Rs 1373 to activate your internship account","1"
"Verification fee of Rs 1153 required before interview","1"
"Pay Rs 1591 to activate your internship account","1"
"Registration fee of Rs 4737 required urgently","1"
"Submit a training deposit of Rs 4735 before joining","1"
"Security deposit of Rs 930 needed to confirm internship","1"
"Training fee of Rs 2678 will be refunded after completion","1"
"Security deposit of Rs 912 needed to confirm internship","1"
"Pay Rs 3790 to activate your internship account","1"
"Verification fee of Rs 2089 required before interview","1"
"Pay a refundable onboarding fee of Rs 792 to proceed","1"
"Submit a training deposit of Rs 2949 before joining","1"
"Processing fee of Rs 1046 required for HR verification","1"
"Registration fee of Rs 1506 required urgently","1"
"Security deposit of Rs 523 needed to confirm internship","1"
"Verification fee of Rs 1469 required before interview","1"
"Registration fee of Rs 4518 required urgently","1"
"Registration fee of Rs 501 required urgently","1"
"Pay a refundable onboarding fee of Rs 4731 to proceed","1"
"Processing fee of Rs 1975 required for HR verification","1"
"Security deposit of Rs 1908 needed to confirm internship","1"
"Registration fee of Rs 1618 required urgently","1"
"Security deposit of Rs 3640 needed to confirm internship","1"
"Pay a refundable onboarding fee of Rs 1883 to proceed","1"
"Pay Rs 2489 to activate your internship account","1"
"Submit a training deposit of Rs 3260 before joining","1"
"Training fee of Rs 2851 will be refunded after completion","1"
"Limited slots. Pay Rs 3384 immediately to secure position","1"
"Limited slots. Pay Rs 4950 immediately to secure position","1"
"Security deposit of Rs 3284 needed to confirm internship","1"
"Processing fee of Rs 3627 required for HR verification","1"
"Limited slots. Pay Rs 1235 immediately to secure position","1"
"Verification fee of Rs 3165 required before interview","1"
"Submit a training deposit of Rs 4868 before joining","1"
"Limited slots. Pay Rs 881 immediately to secure position","1"
"Limited slots. Pay Rs 1754 immediately to secure position","1"
"Pay a refundable onboarding fee of Rs 3961 to proceed","1"
"Registration fee of Rs 3099 required urgently","1"
"Limited slots. Pay Rs 899 immediately to secure position","1"
"Processing fee of Rs 2181 required for HR verification","1"
"Pay a refundable onboarding fee of Rs 4908 to proceed","1"
"Training fee of Rs 3723 will be refunded after completion","1"
"Limited slots. Pay Rs 535 immediately to secure position","1"
"Limited slots. Pay Rs 4304 immediately to secure position","1"
"Pay Rs 4369 to activate your internship account","1"
"Training fee of Rs 847 will be refunded after completion","1"
"Limited slots. Pay Rs 4666 immediately to secure position","1"
"Security deposit of Rs 4895 needed to confirm internship","1"
"Verification fee of Rs 3983 required before interview","1"
"Processing fee of Rs 4735 required for HR verification","1"
"Limited slots. Pay Rs 1389 immediately to secure position","1"
"Verification fee of Rs 3481 required before interview","1"
"Limited slots. Pay Rs 2176 immediately to secure position","1"
